ID,Name,DOB,Gender,Occupation,Arrest_Count
490,Gopal Koshy,1979-07-14,Male,Farmer,1
491,Isaiah Mishra,1980-03-19,Male,Student,7
492,Yash Nadig,1993-03-13,Male,Unknown,0
493,Laksh Mani,1968-11-03,Male,Mason,1
494,Rudra Pai,1970-07-07,Male,Farmer,0
495,Ansh Mani,1965-12-04,Male,Auto Driver,8
496,Timothy Kunda,1993-02-23,Male,Daily Wage Worker,1
497,Harrison Yohannan,1978-12-31,Male,Unknown,12
498,Ekapad Chopra,2002-06-11,Male,Auto Driver,3
499,Jairaj Bedi,2006-02-16,Male,Student,1
500,Jackson Ben,1967-05-14,Male,Business,0
501,Noah Sodhi,1967-05-23,Male,Shopkeeper,1
502,Aarnav Dugar,1988-03-27,Male,Vendor,1
503,William Iyengar,1980-02-04,Male,Mechanic,0
504,Luke Bhargava,1966-08-20,Male,Cook,0
505,Anjali Gill,1988-12-25,Female,Farmer,10
506,Anita Ranganathan,1994-04-04,Female,Mechanic,0
507,Maanav Barad,1961-03-06,Male,Cook,0
508,Chatresh Nayak,1979-11-29,Male,Security Guard,10
509,Yatin Desai,1994-11-10,Male,Unemployed,1
510,Laban Hans,1968-03-18,Male,Unemployed,1
511,Finn Shanker,2004-08-30,Male,Mason,0
512,Girik Atwal,1983-06-27,Male,Unknown,8
513,Gopal Gill,2002-02-14,Male,Driver,0
514,Unni Varma,1982-11-11,Female,Driver,1
515,Sai Chandran,1973-02-13,Male,Painter,0
516,William Naik,1977-06-05,Male,Painter,1
517,Kalpit Rajagopal,1976-07-28,Male,Mason,0
518,Kiaan Narayan,1981-02-03,Male,Vendor,10
519,Kalpit Parsa,2007-09-09,Male,Shopkeeper,0
520,Bhavani Dani,1992-03-20,Female,Labourer,1
521,Fariq Ravi,2007-03-27,Male,Tailor,1
522,Dhriti Merchant,1985-07-23,Female,Auto Driver,0
523,Imaran Deol,1993-02-01,Male,Farmer,12
524,Utkarsh Prakash,1988-11-04,Male,Labourer,0
525,Ikbal Kota,2006-11-04,Male,Unemployed,0
526,Udant Wable,2008-06-09,Male,Unemployed,0
527,Balvan Choudhury,1964-10-01,Male,Unemployed,6
528,Falan Gala,1982-11-16,Male,Unknown,1
529,Dalbir Jha,2000-03-25,Male,Shopkeeper,0
530,Chakradev Uppal,1990-11-11,Male,Daily Wage Worker,11
531,Vasana Deo,1995-06-22,Female,Student,1
532,Vedant Bhardwaj,1998-07-28,Male,Unemployed,1
533,Mitesh Bains,1987-06-29,Male,Private Employee,1
534,Aarav Kamdar,1999-11-26,Male,Mason,1
535,Arin Sampath,1983-12-29,Male,Auto Driver,0
536,Bhanumati Biswas,1992-09-02,Female,Unemployed,1
537,Luke Rege,1972-10-17,Male,Shopkeeper,1
538,Shivansh Prasad,1986-07-29,Male,Driver,1
539,Ranbir Prashad,1966-01-03,Male,Mechanic,8
540,Owen Dani,1972-09-09,Male,Unemployed,0
541,Zarna Datta,1975-09-13,Female,Unknown,0
542,Advay Misra,1992-01-21,Male,Private Employee,0
543,Ranveer Karpe,1977-05-22,Male,Mechanic,0
544,Oscar Dubey,1979-04-22,Male,Security Guard,0
545,Daksh Balay,2005-06-22,Male,Auto Driver,1
546,Abhiram Khosla,1974-07-28,Male,Tailor,1
547,Chandresh Bandi,1990-12-05,Male,Cook,1
548,Jason Basu,1987-12-03,Male,Security Guard,1
549,Kamala Zacharia,1975-05-02,Female,Vendor,0
550,Ekaraj Thakur,1980-03-25,Male,Auto Driver,0
551,Nathaniel Nagi,1976-09-01,Male,Unknown,1
552,Ekbal Verma,1975-08-04,Male,Mechanic,1
553,Mason Maharaj,1964-09-11,Male,Auto Driver,1
554,Tanay Tandon,1963-09-27,Male,Security Guard,1
555,Rayaan Vohra,1982-03-28,Male,Vendor,1
556,Samarth Dixit,1980-12-14,Male,Tailor,0
557,George Yogi,1992-10-08,Male,Driver,0
558,Isaiah Mital,1970-05-15,Male,Painter,12
559,Ayush Sachar,1988-11-21,Male,Shopkeeper,10
560,Rishi Kibe,1977-11-24,Male,Unemployed,1
561,Noah Brar,1991-02-26,Male,Labourer,10
562,Chakradhar Wason,1973-07-05,Male,Labourer,1
563,Krish Purohit,2006-05-23,Male,Business,12
564,Balhaar Guha,2000-07-13,Male,Student,3
565,Wriddhish Joshi,1983-03-16,Male,Auto Driver,1
566,Advika Kakar,1973-06-24,Female,Daily Wage Worker,0
567,Wriddhish Kibe,2007-11-19,Male,Mason,0
568,Mekhala Khatri,1998-02-12,Other,Auto Driver,0
569,Lohit Rai,1992-04-10,Male,Unemployed,8
570,Mitesh Lal,1985-01-08,Male,Security Guard,2
571,Viraj Chaudhari,1992-06-30,Male,Driver,1
572,Harsh Prabhakar,1981-11-03,Male,Private Employee,0
573,Aradhana Kant,1970-06-23,Female,Unemployed,1
574,Kalpit Sahni,1980-08-20,Male,Driver,1
575,Indira Narayan,1976-03-14,Female,Unknown,0
576,Krisha Tata,1998-01-07,Female,Private Employee,5
577,Kabir Suresh,2004-03-19,Male,Mason,1
578,Victor Ganguly,1984-07-06,Male,Auto Driver,1
579,Ekaraj Suresh,1973-01-26,Male,Tailor,0
580,Anay Borde,2006-01-07,Male,Driver,1
581,Aarush Sachar,1969-11-26,Male,Painter,0
582,Bahadurjit Dora,1961-03-03,Male,Mason,1
583,Zayyan Shah,1985-12-10,Male,Daily Wage Worker,1
584,Wyatt Sura,1961-08-14,Male,Vendor,1
585,Samesh Arora,1961-09-07,Male,Unknown,0
586,Luke Badal,1994-09-21,Male,Business,0
587,Gaurav Chhabra,1967-02-06,Male,Shopkeeper,0
588,Jai Handa,2002-09-21,Male,Private Employee,0
589,Peter Loke,1987-07-22,Male,Business,1
590,Rachit Ravi,1991-10-13,Male,Driver,1
591,Isaiah Mital,2007-02-04,Male,Cook,0
592,Amol Chander,1988-02-16,Male,Tailor,11
593,Ranbir Soni,1964-05-13,Male,Mason,8
594,Frederick Butala,1994-07-25,Male,Driver,0
595,Noah Chandran,1996-06-27,Male,Student,0
596,Ishwar Kakar,2007-08-28,Male,Business,0
597,Krishna Batra,1965-08-09,Male,Painter,1
598,Amol Gola,1981-12-12,Male,Driver,0
599,Hemang Dhawan,1987-08-26,Male,Security Guard,0
600,Mason Gaba,1998-12-04,Male,Shopkeeper,1
601,Robert Zachariah,1983-02-14,Male,Mason,1
602,Ekaraj Brar,1994-08-17,Male,Painter,0
603,Avi Chaudhari,1990-04-16,Male,Mechanic,0
604,Bishakha Oak,2001-09-23,Female,Private Employee,1
605,Omisha Balan,2003-09-13,Female,Auto Driver,1
606,Varenya Swaminathan,1976-01-27,Female,Mason,0
607,Raghav Sankaran,1973-03-09,Male,Tailor,0
608,Chaman Merchant,1977-04-26,Female,Electrician,0
609,Benjamin Loyal,1971-01-16,Male,Business,0
610,Ganga Ramachandran,1982-02-05,Female,Painter,0
611,Chatresh Chand,1960-11-25,Male,Auto Driver,0
612,Tristan Parsa,1978-11-27,Male,Mason,11
613,Dominic Chahal,1973-04-19,Male,Mason,1
614,Udarsh Vala,1988-04-24,Male,Vendor,0
615,Agastya Chakraborty,1984-08-18,Male,Auto Driver,1
616,Nicholas Rajan,1961-05-21,Male,Unemployed,1
617,Triveni Rama,1966-04-24,Female,Private Employee,1
618,Frado Rai,1972-01-30,Male,Farmer,0
619,Krish Mitra,1978-10-24,Male,Mason,0
620,Elijah Bhatnagar,1971-12-04,Male,Labourer,1
621,Lakshit Sama,1980-12-11,Male,Driver,4
622,Balvan Patel,1977-09-04,Male,Private Employee,0
623,Yug Hayre,1991-09-15,Male,Vendor,1
624,Ekansh Modi,1961-01-03,Male,Electrician,1
625,Ojas Rai,1982-12-21,Male,Farmer,7
626,Oliver Sani,2004-11-06,Male,Student,0
627,Mason Nagi,2001-08-05,Male,Tailor,1
628,Wakeeta Murthy,1972-08-20,Female,Auto Driver,0
629,Nathaniel Manne,2007-11-03,Male,Painter,0
630,Jairaj Nanda,1986-02-19,Male,Painter,0
631,Ronith Patla,1968-04-18,Male,Driver,0
632,Gautam Bala,1991-12-17,Male,Mechanic,1
633,Theodore Manne,2007-09-11,Male,Security Guard,1
634,Samarth Tata,1970-01-07,Male,Mason,1
635,Jai Krishnan,2005-05-15,Male,Electrician,1
636,Udyati Purohit,1965-07-31,Female,Unknown,4
637,Wriddhish Rattan,1996-11-28,Male,Auto Driver,0
638,Andrew Parsa,2008-04-17,Male,Shopkeeper,1
639,Chatura Kothari,2005-04-18,Male,Unknown,0
640,Fiyaz Basu,1998-11-15,Male,Tailor,0
641,Noah Sani,1967-10-04,Male,Security Guard,0
642,Chandran Kuruvilla,1975-08-27,Male,Electrician,1
643,Vansha Prasad,1987-03-01,Female,Security Guard,8
644,Yamini Dora,1984-01-09,Female,Cook,1
645,Wyatt Cheema,1980-08-26,Male,Painter,1
646,Brijesh D’Alia,1970-03-10,Male,Driver,0
647,Nachiket Oza,1991-07-14,Male,Daily Wage Worker,1
648,Wyatt Pall,1992-12-13,Male,Electrician,1
649,Theodore Sethi,1982-04-01,Male,Farmer,1
650,Mason Basu,1968-05-18,Male,Vendor,0
651,Onveer Chopra,2006-08-17,Male,Electrician,1
652,Jairaj Varty,1972-06-02,Male,Auto Driver,0
653,Noah Sandhu,1991-12-28,Male,Vendor,0
654,Samaksh Gour,1973-03-25,Male,Farmer,0
655,Rudra Balakrishnan,2002-05-03,Male,Unknown,1
656,Umang Sanghvi,1987-01-03,Male,Shopkeeper,0
657,Jalsa Jha,1979-06-28,Female,Unknown,1
658,Charan Yadav,1973-04-08,Male,Student,1
659,Nicholas Hegde,1991-09-07,Male,Daily Wage Worker,0
660,Karan Suri,1996-06-16,Male,Painter,1
661,Sara Ramanathan,2000-06-29,Female,Shopkeeper,0
662,Owen Pandey,1991-09-15,Male,Private Employee,1
663,Manthan Chad,2006-04-14,Male,Unknown,1
664,Naksh Dalal,1976-10-12,Male,Driver,0
665,Dalbir Goswami,1985-12-13,Male,Daily Wage Worker,1
666,Rishi Sahota,2001-02-18,Male,Security Guard,0
667,Sanaya Sampath,1973-03-09,Female,Driver,1
668,Gabriel Ganesan,1993-11-13,Male,Vendor,1
669,Ekaraj Grover,1981-12-14,Male,Painter,1
670,Avi Parmer,1961-03-14,Male,Business,0
671,Ekansh Hayer,1986-09-03,Male,Security Guard,0
672,Samarth Swamy,1988-10-30,Male,Electrician,4
673,Yash Ganesh,1966-03-04,Male,Labourer,1
674,Imaran Master,1962-10-09,Male,Shopkeeper,1
675,Isaiah Yogi,1980-03-10,Male,Daily Wage Worker,7
676,Veer Tandon,1997-12-15,Male,Vendor,0
677,Dakshesh Loyal,1997-07-03,Male,Business,0
678,Ansh Sastry,1997-09-22,Male,Driver,0
679,Simon Chaudry,2005-01-11,Male,Driver,5
680,Manthan Bali,1991-02-25,Male,Electrician,7
681,Priya Chahal,1990-06-05,Female,Painter,1
682,Jagat Kadakia,2000-07-21,Male,Mason,3
683,Tanish Gandhi,2002-06-23,Male,Vendor,0
684,Harshil Jhaveri,1964-08-02,Male,Shopkeeper,0
685,Logan Yohannan,1972-01-03,Male,Unknown,12
686,Madhav Mann,1999-07-10,Male,Vendor,0
687,Yasti Chandran,1969-10-10,Female,Electrician,0
688,Bhanumati Malhotra,2005-03-07,Female,Shopkeeper,1
689,Dominic Krish,1970-07-01,Male,Painter,0
690,Jatin Ramaswamy,1993-11-08,Male,Driver,1
691,Krish Sachdeva,1986-01-28,Male,Labourer,1
692,Baljiwan Chander,1987-12-17,Male,Cook,1
693,Qarin Sha,1993-10-04,Male,Unemployed,0
694,Aarav Chander,1991-09-29,Male,Farmer,0
695,Azad Warrior,1987-08-12,Male,Labourer,1
696,Tanish Kakar,1994-03-19,Male,Unknown,0
697,Neel Mander,1983-07-13,Male,Driver,3
698,Xavier Oza,2006-12-29,Male,Mechanic,2
699,Aradhana Chaudhary,2003-02-27,Female,Mason,1
700,Abhiram Dash,1971-04-19,Male,Mason,10
701,Vedant Acharya,1989-08-29,Male,Shopkeeper,1
702,Dominic Mittal,1971-05-14,Male,Mechanic,0
703,Chakradhar Patel,1977-08-02,Male,Mason,0
704,Quincy Gandhi,1964-01-27,Male,Painter,0
705,Michael Kaur,1989-10-03,Male,Driver,0
706,Champak Agarwal,1975-01-26,Male,Unemployed,0
707,Balvan Deo,2000-12-11,Male,Shopkeeper,0
708,Tristan Andra,1961-02-04,Male,Vendor,1
709,Darpan Sami,2007-10-11,Male,Shopkeeper,1
710,William Bobal,1976-02-16,Male,Farmer,0
711,Chaitanya Chaudry,1967-07-28,Male,Painter,0
712,Qarin Mistry,1969-11-17,Male,Unknown,1
713,Ekalinga Dhar,1965-03-15,Male,Vendor,11
714,Fitan Sarraf,1984-06-11,Male,Student,0
715,Forum Sabharwal,2002-06-21,Female,Farmer,0
716,Ikbal Chadha,1967-05-21,Male,Labourer,1
717,David Rajagopalan,1984-06-20,Male,Shopkeeper,0
718,Nakul Dey,1977-05-29,Male,Painter,0
719,Brijesh Kothari,1998-03-16,Male,Private Employee,0
720,Agastya Mitra,1974-07-12,Male,Farmer,0
721,Rohan Merchant,2004-07-08,Male,Cook,1
722,Jagdish Talwar,1986-10-22,Male,Electrician,1
723,Jai Tata,2003-12-20,Male,Tailor,1
724,Abeer Patel,1982-01-30,Male,Unknown,0
725,Rishi Salvi,1985-05-31,Male,Unknown,0
726,Warinder Bora,1961-09-06,Male,Tailor,0
727,Abhimanyu Lala,1975-03-25,Male,Painter,10
728,Ayushman Rao,1995-01-08,Male,Labourer,0
729,Zashil Sagar,1989-05-16,Male,Mason,1
730,Benjamin Yadav,1997-02-18,Male,Cook,1
731,Liam Chacko,1981-08-20,Male,Unemployed,0
732,Harsh Dugal,1997-01-18,Male,Driver,5
733,Shivani Bhatti,1981-08-27,Female,Cook,1
734,Jagdish Bhardwaj,1977-03-08,Male,Driver,0
735,Teerth D’Alia,1991-05-26,Male,Mason,11
736,Mohammed Gill,1968-09-03,Male,Shopkeeper,1
737,Ekantika Apte,1971-09-12,Female,Mason,1
738,Oscar Virk,1995-09-29,Male,Daily Wage Worker,0
739,Fiyaz Prabhu,1969-03-08,Male,Unknown,3
740,Daniel Balan,1983-05-06,Male,Electrician,0
741,Laban Viswanathan,1964-11-22,Male,Mechanic,1
742,Balvan Taneja,1991-07-11,Male,Farmer,12
743,Ayaan Tata,1999-02-15,Male,Unemployed,1
744,Qarin Dugar,1977-11-27,Male,Auto Driver,1
745,Dalbir Kari,1995-03-04,Male,Business,0
746,Anthony Arora,1977-03-10,Male,Mason,0
747,Warinder Patla,1986-08-11,Male,Farmer,0
748,Gaurav Banik,1998-03-03,Male,Unemployed,0
749,Isaac Nagy,1977-06-10,Male,Mason,0
750,Nathaniel Madan,1965-11-05,Male,Daily Wage Worker,0
751,Darpan Thakkar,2006-05-14,Male,Driver,1
752,Hemal Kapoor,1995-08-24,Female,Driver,1
753,Sai Biswas,1992-03-12,Male,Electrician,11
754,Nachiket Narang,1966-06-05,Male,Mason,1
755,Aayush Pillay,1974-03-15,Male,Student,0
756,Max Kibe,1992-02-12,Male,Electrician,0
757,Yatin Hayre,1997-09-27,Male,Auto Driver,1
758,Faqid Ahuja,1988-06-13,Male,Tailor,0
759,Jackson Pal,2003-10-28,Male,Shopkeeper,0
760,Oliver Agarwal,2005-04-11,Male,Tailor,1
761,Mitesh Chawla,1974-07-06,Male,Vendor,1
762,Shaurya Swamy,1964-08-15,Male,Unknown,1
763,Logan Chander,1963-07-15,Male,Labourer,0
764,Samuel Pradhan,1991-09-30,Male,Daily Wage Worker,9
765,Champak Tiwari,1969-08-19,Male,Unknown,0
766,Baljiwan Bhatia,1990-02-23,Male,Auto Driver,0
767,Jagat Manne,1978-04-22,Male,Auto Driver,1
768,Ronith Narain,1982-03-11,Male,Student,1
769,Madhavi Kaur,1965-08-18,Female,Vendor,0
770,Ekansh Chopra,1971-02-14,Male,Vendor,0
771,Fitan Sengupta,1992-04-05,Male,Mechanic,1
772,Samar Dara,1997-01-06,Male,Student,0
773,Hemang Seth,1981-07-12,Male,Auto Driver,9
774,Kevin Dar,1966-09-13,Male,Mechanic,1
775,Max Baria,1975-03-07,Male,Private Employee,4
776,Ethan Chand,1977-06-09,Male,Shopkeeper,1
777,Siya Varghese,1963-11-17,Female,Vendor,1
778,Kalpit Ghosh,1962-08-30,Male,Private Employee,0
779,Varsha Krish,1966-12-29,Female,Painter,1
780,Charan Dey,1968-10-23,Male,Student,1
781,Azaan Kapadia,1969-06-10,Male,Unknown,1
782,Sai Pradhan,2007-04-01,Male,Business,2
783,Leela Borde,1962-01-11,Female,Unknown,0
784,Hardik Sawhney,1969-04-24,Male,Private Employee,0
785,Noah Das,1963-06-15,Male,Farmer,0
786,Aryan Ganguly,1999-08-07,Male,Driver,1
787,Rudra Taneja,1962-07-21,Male,Driver,1
788,Tanay Gera,1984-08-19,Male,Daily Wage Worker,0
789,Girik Maharaj,1979-08-04,Male,Farmer,0
790,Falan Banerjee,2002-05-03,Male,Painter,1
791,Manbir Tara,1988-08-01,Male,Mason,1
792,Azaan Chahal,1979-08-02,Male,Security Guard,0
793,Ekapad Saini,1974-02-13,Male,Driver,0
794,Aditya Raja,1984-12-25,Male,Private Employee,0
795,Xavier Padmanabhan,1999-01-15,Male,Student,0
796,Rishi Madan,1972-10-13,Male,Tailor,0
797,Nathaniel Kanda,1962-07-17,Male,Security Guard,1
798,Barkha Sodhi,1996-07-29,Female,Student,1
799,Jackson Dutta,1967-05-12,Male,Farmer,0
800,Jai Lata,1996-11-11,Male,Tailor,1
801,Imaran Rama,1984-09-09,Male,Business,0
802,Gaurang Khalsa,2000-11-13,Male,Tailor,0
803,Praneel Bala,2008-06-01,Male,Labourer,1
804,Ekta Guha,1994-01-16,Female,Security Guard,0
805,Gagan Swaminathan,1963-02-17,Male,Business,1
806,Baghyawati Kaul,2001-06-28,Female,Business,1
807,Advaith Vyas,1993-01-27,Male,Daily Wage Worker,10
808,Noah Jaggi,1969-06-05,Male,Vendor,1
809,Gaurang Naik,1964-08-07,Male,Unemployed,1
810,Ethan Dhar,1968-02-04,Male,Daily Wage Worker,0
811,Balhaar Prakash,2008-06-28,Male,Farmer,7
812,Daksha Nayar,1981-01-30,Female,Painter,0
813,Ekansh Dugar,1990-04-11,Male,Mason,1
814,Nitara Ghosh,1998-10-16,Female,Security Guard,0
815,Isaac Gill,1986-04-18,Male,Driver,0
816,Manan Datta,1972-08-21,Male,Cook,0
817,Rohan Bali,1972-12-08,Male,Electrician,0
818,Janya Chawla,1994-04-24,Female,Mechanic,8
819,Noah Brahmbhatt,1976-09-28,Male,Painter,0
820,Odika Ganesh,2003-11-03,Female,Daily Wage Worker,0
821,Oliver Sekhon,1961-04-28,Male,Tailor,1
822,Jagrati Krish,2007-09-19,Female,Cook,0
823,Parth Kunda,1967-11-25,Male,Unknown,1
824,Arjun Raju,1990-05-15,Male,Shopkeeper,11
825,Fiyaz Sachdev,1994-02-06,Male,Farmer,0
826,Parth Prashad,1967-06-14,Male,Tailor,1
827,Isaiah Gaba,1991-04-04,Male,Security Guard,1
828,Anay Menon,1961-11-30,Male,Daily Wage Worker,1
829,Kalpit Cheema,1965-08-06,Male,Private Employee,0
830,Frederick Prashad,1971-07-01,Male,Daily Wage Worker,0
831,Chakradhar Nigam,2000-12-20,Male,Business,1
832,Amruta Sankar,2005-01-10,Female,Farmer,0
833,Teerth Dugar,1964-03-11,Male,Electrician,1
834,Noah Jha,1973-06-23,Male,Painter,0
835,Kevin Manda,1980-10-13,Male,Mechanic,1
836,Chanakya Bawa,1987-04-14,Male,Cook,0
837,Faraj Bhagat,1985-02-06,Male,Student,10
838,Tanay Chahal,1980-08-04,Male,Cook,0
839,Harish Chatterjee,1962-04-19,Male,Mechanic,0
840,Frederick Manne,1966-02-14,Male,Unemployed,0
841,Dalbir Morar,1987-08-06,Male,Electrician,0
842,Yash Lanka,1966-10-01,Male,Auto Driver,1
843,George Prabhakar,1986-07-03,Male,Security Guard,1
844,Girik Sehgal,1963-08-01,Male,Daily Wage Worker,0
845,Thomas Shroff,1978-06-21,Male,Mason,11
846,Krish Bhatia,1970-10-31,Male,Mechanic,0
847,Brijesh Padmanabhan,1997-05-23,Male,Daily Wage Worker,0
848,Jhalak Bhat,1986-11-21,Female,Labourer,0
849,Wazir Keer,1992-12-15,Male,Labourer,1
850,Balveer Rana,1962-11-29,Male,Daily Wage Worker,1
851,Dipta Sen,1972-04-23,Female,Electrician,1
852,Hitesh Hans,1969-02-18,Male,Cook,1
853,Siddharth Brar,2007-01-13,Male,Labourer,1
854,Harrison Divan,2001-01-14,Male,Business,0
855,Nathaniel Bhavsar,1966-06-21,Male,Private Employee,1
856,Sneha Nanda,1979-05-06,Female,Daily Wage Worker,1
857,Abeer Virk,1989-02-06,Male,Cook,0
858,Triya Doctor,1970-08-19,Female,Mason,0
859,Chatresh Chaudhuri,1980-01-06,Male,Security Guard,1
860,Tripti Lalla,1986-08-12,Female,Mason,0
861,Warjas Barad,1972-04-07,Male,Unknown,1
862,Saksham Dhawan,2002-08-14,Male,Auto Driver,1
863,Anjali Randhawa,1983-02-08,Female,Vendor,0
864,Arya Soman,1978-10-28,Female,Tailor,0
865,Advaith Nazareth,1981-03-03,Male,Daily Wage Worker,0
866,Meera Swamy,2007-12-03,Female,Private Employee,0
867,Ishaan Desai,1980-12-29,Male,Business,1
868,Naveen Luthra,1988-11-27,Male,Unknown,0
869,Girindra Sathe,1974-12-07,Male,Unknown,0
870,Xavier Varty,1985-12-28,Male,Mechanic,1
871,Fariq Bhatti,1981-09-20,Male,Painter,4
872,Ekansh Viswanathan,1999-03-31,Male,Mechanic,1
873,Gabriel Hans,1974-03-17,Male,Student,1
874,Jeet Bali,1991-08-11,Male,Student,0
875,Pranit Issac,1979-03-11,Male,Daily Wage Worker,0
876,Vincent Tiwari,1987-07-24,Male,Student,0
877,Alexander Khurana,1985-11-22,Male,Painter,1
878,Udant Goel,1992-11-03,Male,Security Guard,0
879,Orinder Gade,1978-02-24,Male,Vendor,1
880,Lucky Bala,1986-11-08,Male,Cook,0
881,Finn Kala,1975-08-11,Male,Auto Driver,1
882,Harshil Luthra,2004-11-20,Male,Farmer,1
883,Advaith Andra,1992-10-22,Male,Unemployed,1
884,Gabriel Anand,1975-10-10,Male,Cook,1
885,Michael Maharaj,1989-05-21,Male,Shopkeeper,1
886,Owen Sharaf,1977-09-11,Male,Mechanic,1
887,Viraj Mittal,2006-08-18,Male,Auto Driver,0
888,Charan Amble,1995-05-10,Male,Labourer,0
889,Lohit Misra,2007-02-14,Male,Unemployed,1
890,Wridesh Bhatt,1983-06-07,Male,Unemployed,0
891,Nicholas Malhotra,1978-04-26,Male,Labourer,3
892,Girindra Doctor,1995-10-01,Male,Mason,6
893,Ayush Raval,2005-06-30,Male,Shopkeeper,0
894,Ekaraj Bal,2005-02-23,Male,Farmer,1
895,Manbir Lad,1989-01-11,Male,Shopkeeper,0
896,Rishi Banik,2000-03-22,Male,Farmer,0
897,Onveer Kapadia,2007-04-02,Male,Mechanic,0
898,Praneel Tripathi,1980-12-22,Male,Painter,0
899,Gautam Memon,1967-03-10,Male,Mechanic,1
900,Devansh Kuruvilla,1998-08-03,Male,Labourer,3
901,Oviya Chakraborty,1975-09-03,Female,Unknown,0
902,Jasmit Mohanty,1989-02-27,Female,Cook,3
903,Ria Lad,2000-05-24,Female,Auto Driver,1
904,Vincent Dalal,1992-07-26,Male,Unemployed,4
905,Bimala Sodhi,1973-10-14,Female,Business,1
906,Rayaan Wagle,1980-11-06,Male,Farmer,2
907,Avi Dora,1969-11-23,Male,Shopkeeper,0
908,Onveer Rout,1999-04-18,Male,Electrician,1
909,Eshana Mutti,1972-10-26,Female,Driver,1
910,Yagnesh Natarajan,2003-06-28,Male,Mason,1
911,Naksh Bhardwaj,1960-11-13,Male,Mason,1
912,Laksh Kadakia,1972-01-08,Male,Student,2
913,Vrishti Chakrabarti,1969-05-09,Other,Student,11
914,Tanish Raval,1989-09-28,Male,Unknown,0
915,Rehaan Agrawal,1963-02-11,Male,Vendor,0
916,Rachit Atwal,1982-06-22,Male,Security Guard,8
917,Aditya Agrawal,2003-03-12,Male,Driver,1
918,Isaiah Padmanabhan,1981-10-14,Male,Cook,0
919,Dalaja Rajagopal,1994-10-19,Female,Private Employee,0
920,Fiyaz Bhattacharyya,1963-08-29,Male,Auto Driver,1
921,Maanav Shah,1995-12-14,Male,Tailor,0
922,Teerth Desai,1983-11-14,Male,Student,1
923,Rachita Guha,1971-10-08,Female,Student,9
924,Aditya Kari,1975-10-24,Male,Private Employee,0
925,Hitesh Bains,2000-09-03,Male,Tailor,1
926,Diya Peri,2004-10-25,Female,Driver,1
927,Raghav Kumer,1996-12-07,Male,Security Guard,0
928,Chanakya Chokshi,2005-01-08,Other,Labourer,8
929,Arjun D’Alia,1988-11-28,Male,Tailor,3
930,Ranveer Dasgupta,1997-10-15,Male,Business,0
931,Warjas Dua,1974-07-13,Male,Electrician,1
932,Nidhi Salvi,2005-07-28,Female,Auto Driver,1
933,Krishna Devan,1989-01-17,Male,Security Guard,1
934,Daniel Mandal,1968-04-21,Male,Farmer,12
935,Yuvraj Issac,2001-12-27,Male,Private Employee,1
936,Karan Virk,1974-04-09,Male,Vendor,0
937,Tara Merchant,1971-06-18,Female,Security Guard,8
938,Yuvraj Johal,2007-05-19,Male,Mechanic,1
939,Noah Keer,1960-09-25,Male,Mechanic,0
940,Chaitanya Choudhry,1999-08-14,Male,Unemployed,0
941,Falan Chana,1995-05-15,Male,Electrician,0
942,Daksha Kunda,2004-05-24,Female,Labourer,0
943,Vedant Minhas,1978-07-09,Male,Painter,1
944,Arya Chaudhry,1972-06-08,Female,Student,0
945,Maanav Parsa,2006-08-08,Male,Shopkeeper,12
946,Tanay D’Alia,1967-01-05,Male,Private Employee,1
947,Aayush Devi,2005-09-08,Male,Auto Driver,1
948,Omya Parmar,1990-05-02,Female,Electrician,0
949,Chakradhar Pradhan,1983-11-14,Male,Cook,1
950,Dakshesh Rattan,1987-10-14,Male,Tailor,0
951,Laban Rajan,2007-06-30,Male,Business,0
952,Oviya Ganesan,1968-03-29,Other,Student,1
953,Ayushman Dutta,1967-08-09,Male,Vendor,1
954,Wyatt Sarma,1972-11-18,Male,Tailor,1
955,Rachita Balakrishnan,2007-02-15,Female,Cook,8
956,Wyatt Sura,1968-03-26,Male,Unemployed,0
957,Ridhi Batra,1964-11-09,Other,Daily Wage Worker,2
958,Naksh Arora,2008-06-29,Male,Business,0
959,Omkaar Venkataraman,1996-02-22,Male,Electrician,12
960,Tarak Kothari,1993-05-05,Male,Auto Driver,1
961,Reyansh Dixit,1998-07-17,Male,Business,0
962,Aashi Dugar,1994-12-13,Female,Mason,1
963,Yachana Gandhi,1965-08-22,Female,Unemployed,6
964,Naveen Khosla,1983-01-24,Male,Electrician,1
965,Aryan Tripathi,1975-09-14,Male,Tailor,0
966,Saksham Keer,1965-11-29,Male,Mechanic,0
967,Sachi Sem,1966-07-15,Other,Driver,0
968,Udant Mutti,1968-08-16,Male,Farmer,1
969,Aditya Chauhan,1988-01-01,Male,Daily Wage Worker,11
970,Anita Acharya,1966-09-25,Female,Labourer,0
971,Harshil Shan,1983-09-28,Male,Private Employee,1
972,Avi Kapoor,1991-06-22,Male,Unknown,0
973,Warjas Patla,1991-05-05,Male,Private Employee,0
974,Chanakya Kapadia,1960-09-11,Male,Cook,1
975,Peter Manne,1997-10-25,Male,Auto Driver,1
976,Chatresh Bath,1971-09-20,Male,Business,1
977,Logan Rout,1967-10-29,Other,Labourer,7
978,Guneet Guha,1968-10-06,Male,Auto Driver,1
979,Hritik Shankar,1973-07-07,Male,Farmer,1
980,Chatura Sachdeva,1963-09-17,Male,Cook,1
